building_id,primarypropertytype,yearbuilt,building_age,propertygfatotal,propertygfatotal_log,numberoffloors,numberoffloors_log,energystarscore,energystar_missing,elec_ratio,uses_gas,uses_steam,steam_ratio,has_parking,is_multipurpose,uses_clim,has_generator,gfa_per_floor,eui_kwh_m2_an,siteenergyuse_kwh_an,totalghgemissions,emission_factor_grid,context,climate_zone
LME_0044,Bureaux & Administration,2013,11,2317,7.7485,3,1.3863,40,0,0.901,0,0,0.0,1,1,1,1,772.3,213.8,495471.0,286.99,0.579,Lomé,Tropical_Aw
LME_0045,Bureaux & Administration,2004,20,1560,7.3531,3,1.3863,27,0,0.885,0,0,0.0,0,0,1,1,520.0,265.1,413484.0,257.09,0.622,Lomé,Tropical_Aw
LME_0046,Bureaux & Administration,2004,20,4118,8.3234,2,1.0986,55,0,0.938,0,0,0.0,0,0,1,1,2059.0,160.9,662551.0,438.99,0.663,Lomé,Tropical_Aw
LME_0047,Bureaux & Administration,2006,18,2257,7.7222,3,1.3863,72,0,0.912,0,0,0.0,1,0,1,1,752.3,117.5,265148.0,167.09,0.63,Lomé,Tropical_Aw
LME_0048,Bureaux & Administration,2017,7,2068,7.6348,4,1.6094,60,0,0.94,0,0,0.0,1,1,1,1,517.0,206.7,427362.0,255.55,0.598,Lomé,Tropical_Aw
LME_0049,Bureaux & Administration,2010,14,15011,9.6166,2,1.0986,70,0,0.892,0,0,0.0,1,0,1,1,7505.5,123.4,1852913.0,1200.96,0.648,Lomé,Tropical_Aw
LME_0050,Bureaux & Administration,2005,19,2462,7.8091,3,1.3863,68,0,0.998,0,0,0.0,1,1,1,0,820.7,149.7,368555.0,232.88,0.632,Lomé,Tropical_Aw
LME_0051,Bureaux & Administration,2010,14,7499,8.9227,3,1.3863,66,0,0.972,0,0,0.0,1,0,1,1,2499.7,112.7,844820.0,546.74,0.647,Lomé,Tropical_Aw
LME_0052,Bureaux & Administration,1995,29,5107,8.5386,3,1.3863,82,0,0.938,0,0,0.0,0,0,1,1,1702.3,121.5,620434.0,365.99,0.59,Lomé,Tropical_Aw
LME_0053,Bureaux & Administration,2005,19,2755,7.9215,5,1.7918,48,0,0.98,0,0,0.0,0,0,1,1,551.0,207.1,570683.0,348.03,0.61,Lomé,Tropical_Aw
LME_0054,Bureaux & Administration,1998,26,4339,8.3756,3,1.3863,62,0,0.9,0,0,0.0,0,0,1,1,1446.3,172.5,748559.0,381.46,0.51,Lomé,Tropical_Aw
LME_0055,Bureaux & Administration,2004,20,4023,8.3,4,1.6094,87,0,0.97,0,0,0.0,0,0,1,0,1005.8,107.8,433669.0,261.25,0.602,Lomé,Tropical_Aw
LME_0056,Bureaux & Administration,1994,30,838,6.7322,2,1.0986,39,0,0.975,0,0,0.0,1,1,1,0,419.0,242.7,203367.0,121.13,0.596,Lomé,Tropical_Aw
LME_0057,Bureaux & Administration,2020,4,16445,9.7078,3,1.3863,43,0,0.893,0,0,0.0,1,0,1,1,5481.7,209.3,3442251.0,2046.42,0.594,Lomé,Tropical_Aw
LME_0058,Bureaux & Administration,2014,10,6646,8.8019,3,1.3863,47,0,0.945,0,0,0.0,1,0,1,1,2215.3,228.4,1517746.0,953.95,0.629,Lomé,Tropical_Aw
LME_0059,Bureaux & Administration,2011,13,5678,8.6445,5,1.7918,70,0,0.964,0,0,0.0,1,0,1,1,1135.6,182.5,1036417.0,680.19,0.656,Lomé,Tropical_Aw
LME_0060,Bureaux & Administration,2023,1,14419,9.5764,2,1.0986,66,0,0.981,0,0,0.0,1,1,1,0,7209.5,162.7,2346270.0,1752.51,0.747,Lomé,Tropical_Aw
LME_0061,Bureaux & Administration,1980,44,11577,9.3569,2,1.0986,60,0,0.944,0,0,0.0,1,0,1,1,5788.5,159.7,1849375.0,993.59,0.537,Lomé,Tropical_Aw
LME_0062,Bureaux & Administration,2008,16,18680,9.8353,3,1.3863,64,0,0.93,0,0,0.0,0,1,1,1,6226.7,169.9,3174414.0,1806.69,0.569,Lomé,Tropical_Aw
LME_0063,Bureaux & Administration,2023,1,2593,7.861,3,1.3863,24,0,0.888,0,0,0.0,1,0,1,0,864.3,263.1,682293.0,425.04,0.623,Lomé,Tropical_Aw
LME_0064,Bureaux & Administration,2017,7,3173,8.0627,2,1.0986,59,0,0.934,0,0,0.0,1,0,1,1,1586.5,176.9,561262.0,314.94,0.561,Lomé,Tropical_Aw
LME_0065,Bureaux & Administration,2001,23,4359,8.3802,3,1.3863,75,0,0.883,0,0,0.0,1,1,1,1,1453.0,141.0,614619.0,434.91,0.708,Lomé,Tropical_Aw
LME_0066,Bureaux & Administration,2013,11,1991,7.5969,2,1.0986,53,0,0.909,0,0,0.0,1,0,1,1,995.5,195.6,389407.0,246.0,0.632,Lomé,Tropical_Aw
LME_0067,Bureaux & Administration,2020,4,2905,7.9745,2,1.0986,50,0,0.931,0,0,0.0,0,1,1,1,1452.5,182.4,529953.0,295.42,0.557,Lomé,Tropical_Aw
LME_0068,Bureaux & Administration,2010,14,1592,7.3734,2,1.0986,33,0,0.932,0,0,0.0,0,0,1,1,796.0,248.9,396314.0,264.97,0.669,Lomé,Tropical_Aw
LME_0069,Bureaux & Administration,2000,24,27561,10.2242,3,1.3863,53,0,0.998,0,0,0.0,1,0,1,1,9187.0,195.2,5381070.0,3286.76,0.611,Lomé,Tropical_Aw
LME_0070,Bureaux & Administration,1998,26,2246,7.7174,4,1.6094,59,0,0.881,0,0,0.0,0,1,1,0,561.5,209.8,471309.0,330.4,0.701,Lomé,Tropical_Aw
LME_0071,Bureaux & Administration,2004,20,4330,8.3736,3,1.3863,58,0,0.9,0,0,0.0,1,0,1,1,1443.3,158.9,687961.0,427.43,0.621,Lomé,Tropical_Aw
LME_0072,Bureaux & Administration,2010,14,1595,7.3753,2,1.0986,30,0,0.937,0,0,0.0,1,0,1,1,797.5,221.0,352551.0,229.29,0.65,Lomé,Tropical_Aw
LME_0073,Bureaux & Administration,2016,8,1272,7.1491,3,1.3863,64,0,0.963,0,0,0.0,1,0,1,0,424.0,172.3,219228.0,155.33,0.709,Lomé,Tropical_Aw
LME_0074,Bureaux & Administration,2021,3,10700,9.2781,2,1.0986,64,0,0.896,0,0,0.0,0,0,1,1,5350.0,159.9,1710858.0,1151.8,0.673,Lomé,Tropical_Aw
LME_0075,Bureaux & Administration,2019,5,13753,9.5291,4,1.6094,63,0,0.907,0,0,0.0,1,0,1,1,3438.2,168.3,2315093.0,1243.09,0.537,Lomé,Tropical_Aw
LME_0076,Bureaux & Administration,2021,3,5803,8.6663,2,1.0986,54,0,0.997,0,0,0.0,0,1,1,0,2901.5,208.8,1211658.0,723.03,0.597,Lomé,Tropical_Aw
LME_0077,Bureaux & Administration,1993,31,1596,7.3759,3,1.3863,60,0,0.921,0,0,0.0,1,0,1,1,532.0,204.0,325578.0,194.06,0.596,Lomé,Tropical_Aw
LME_0078,Bureaux & Administration,2000,24,5751,8.6573,3,1.3863,41,0,0.883,0,0,0.0,0,0,1,0,1917.0,225.3,1295623.0,849.5,0.656,Lomé,Tropical_Aw
LME_0079,Bureaux & Administration,2005,19,13076,9.4786,2,1.0986,36,0,0.985,0,0,0.0,1,1,1,1,6538.0,277.4,3627218.0,2183.07,0.602,Lomé,Tropical_Aw
LME_0080,Bureaux & Administration,2002,22,3234,8.0818,2,1.0986,57,0,0.908,0,0,0.0,0,1,1,0,1617.0,148.3,479498.0,250.93,0.523,Lomé,Tropical_Aw
LME_0081,Bureaux & Administration,2020,4,4304,8.3675,2,1.0986,61,0,0.954,0,0,0.0,0,0,0,1,2152.0,168.2,724063.0,473.35,0.654,Lomé,Tropical_Aw
LME_0082,Bureaux & Administration,1999,25,7287,8.894,2,1.0986,51,0,0.902,0,0,0.0,0,0,1,1,3643.5,166.7,1214729.0,730.45,0.601,Lomé,Tropical_Aw
LME_0083,Bureaux & Administration,1999,25,6469,8.7749,2,1.0986,45,0,0.951,0,0,0.0,0,0,1,0,3234.5,197.5,1277775.0,695.38,0.544,Lomé,Tropical_Aw
LME_0084,Bureaux & Administration,2013,11,3604,8.1901,3,1.3863,45,0,0.946,0,0,0.0,0,1,1,1,1201.3,189.5,682997.0,453.65,0.664,Lomé,Tropical_Aw
LME_0085,Bureaux & Administration,1990,34,8568,9.0559,2,1.0986,56,0,0.938,0,0,0.0,1,0,1,1,4284.0,196.4,1682590.0,1143.18,0.679,Lomé,Tropical_Aw
LME_0086,Bureaux & Administration,2019,5,21533,9.9774,3,1.3863,57,0,0.984,0,0,0.0,0,1,1,1,7177.7,213.1,4589344.0,3076.82,0.67,Lomé,Tropical_Aw
LME_0087,Bureaux & Administration,2016,8,3654,8.2039,2,1.0986,55,0,0.98,0,0,0.0,0,1,1,1,1827.0,187.9,686699.0,412.25,0.6,Lomé,Tropical_Aw
LME_0088,Bureaux & Administration,2017,7,5100,8.5372,3,1.3863,19,0,0.893,0,0,0.0,0,1,1,0,1700.0,255.9,1304932.0,887.94,0.68,Lomé,Tropical_Aw
LME_0089,Bureaux & Administration,1990,34,5655,8.6405,3,1.3863,30,0,0.888,0,0,0.0,0,1,1,1,1885.0,244.1,1380527.0,785.07,0.569,Lomé,Tropical_Aw
LME_0090,Bureaux & Administration,2014,10,6645,8.8018,4,1.6094,57,0,0.934,0,0,0.0,0,0,0,1,1661.2,172.9,1149158.0,641.81,0.559,Lomé,Tropical_Aw
LME_0091,Bureaux & Administration,2001,23,12057,9.3975,4,1.6094,44,0,0.93,0,0,0.0,0,1,1,1,3014.2,214.2,2583193.0,1588.77,0.615,Lomé,Tropical_Aw
LME_0092,Bureaux & Administration,2019,5,5971,8.6948,2,1.0986,47,0,0.937,0,0,0.0,0,0,1,0,2985.5,225.9,1348628.0,883.87,0.655,Lomé,Tropical_Aw
LME_0093,Bureaux & Administration,1985,39,2308,7.7446,3,1.3863,41,0,0.976,0,0,0.0,1,0,1,1,769.3,210.4,485613.0,318.29,0.655,Lomé,Tropical_Aw
LME_0094,Bureaux & Administration,2001,23,20759,9.9408,3,1.3863,58,0,0.976,0,0,0.0,0,0,1,1,6919.7,158.9,3297946.0,2016.19,0.611,Lomé,Tropical_Aw
LME_0095,Bureaux & Administration,2019,5,11145,9.3188,2,1.0986,83,0,0.909,0,0,0.0,0,1,1,1,5572.5,134.3,1496271.0,924.12,0.618,Lomé,Tropical_Aw
LME_0096,Bureaux & Administration,1991,33,9915,9.2019,3,1.3863,72,0,0.922,1,0,0.0,0,1,1,1,3305.0,107.2,1062693.0,615.18,0.63,Lomé,Tropical_Aw
LME_0097,Bureaux & Administration,1984,40,15055,9.6195,3,1.3863,22,0,0.985,0,0,0.0,0,0,1,1,5018.3,284.0,4276209.0,2727.78,0.638,Lomé,Tropical_Aw
LME_0098,Bureaux & Administration,2015,9,10510,9.2602,3,1.3863,33,0,0.89,0,0,0.0,0,0,1,1,3503.3,259.3,2725046.0,1645.88,0.604,Lomé,Tropical_Aw
LME_0099,Bureaux & Administration,2013,11,7467,8.9184,2,1.0986,10,0,0.966,0,0,0.0,0,1,0,0,3733.5,292.6,2185056.0,1344.18,0.615,Lomé,Tropical_Aw
LME_0100,Bureaux & Administration,2015,9,7718,8.9514,4,1.6094,68,0,0.969,0,0,0.0,1,0,1,1,1929.5,170.3,1314403.0,829.68,0.631,Lomé,Tropical_Aw
LME_0101,Bureaux & Administration,2020,4,11648,9.363,3,1.3863,91,0,0.951,0,0,0.0,1,0,1,1,3882.7,108.4,1262345.0,746.5,0.591,Lomé,Tropical_Aw
LME_0102,Bureaux & Administration,2008,16,9150,9.1216,3,1.3863,46,0,0.91,0,0,0.0,1,0,1,1,3050.0,169.2,1548016.0,1048.69,0.677,Lomé,Tropical_Aw
LME_0103,Bureaux & Administration,2016,8,1744,7.4645,4,1.6094,76,0,0.889,0,0,0.0,1,0,1,1,436.0,113.6,198192.0,120.18,0.606,Lomé,Tropical_Aw
LME_0104,Bureaux & Administration,1996,28,13186,9.487,2,1.0986,48,0,0.884,0,0,0.0,0,0,1,1,6593.0,213.9,2820226.0,1802.4,0.639,Lomé,Tropical_Aw
LME_0105,Bureaux & Administration,2001,23,3994,8.2928,3,1.3863,54,0,0.992,1,0,0.0,1,1,1,1,1331.3,189.2,755716.0,401.0,0.586,Lomé,Tropical_Aw
LME_0106,Bureaux & Administration,2007,17,993,6.9017,3,1.3863,56,0,0.942,0,0,0.0,0,0,1,1,331.0,195.8,194428.0,111.42,0.573,Lomé,Tropical_Aw
LME_0107,Bureaux & Administration,2006,18,6131,8.7213,2,1.0986,77,0,0.963,0,0,0.0,0,0,1,1,3065.5,175.0,1072669.0,676.72,0.631,Lomé,Tropical_Aw
LME_0108,Bureaux & Administration,1999,25,4693,8.454,4,1.6094,35,0,0.959,0,0,0.0,0,0,1,1,1173.2,238.9,1120948.0,751.32,0.67,Lomé,Tropical_Aw
LME_0109,Bureaux & Administration,2005,19,7719,8.9516,3,1.3863,38,0,0.977,0,0,0.0,0,1,1,1,2573.0,232.1,1791815.0,1000.94,0.559,Lomé,Tropical_Aw
LME_0110,Bureaux & Administration,2005,19,5434,8.6006,2,1.0986,70,0,0.963,0,0,0.0,1,0,1,1,2717.0,124.8,678413.0,376.75,0.555,Lomé,Tropical_Aw
LME_0111,Bureaux & Administration,2007,17,11751,9.3718,4,1.6094,31,0,0.942,0,0,0.0,0,0,1,1,2937.8,221.5,2602416.0,1571.23,0.604,Lomé,Tropical_Aw
LME_0112,Bureaux & Administration,2018,6,1317,7.1839,4,1.6094,55,0,0.966,0,0,0.0,0,1,1,1,329.2,193.4,254762.0,154.73,0.607,Lomé,Tropical_Aw
LME_0113,Bureaux & Administration,1992,32,4225,8.349,3,1.3863,83,0,0.914,0,0,0.0,0,1,1,1,1408.3,121.8,514713.0,316.59,0.615,Lomé,Tropical_Aw
LME_0114,Bureaux & Administration,1997,27,1399,7.2442,2,1.0986,48,0,0.962,0,0,0.0,1,0,1,1,699.5,181.3,253605.0,159.27,0.628,Lomé,Tropical_Aw
LME_0115,Bureaux & Administration,2010,14,15031,9.6179,3,1.3863,49,0,0.994,0,0,0.0,0,0,1,0,5010.3,184.1,2766966.0,1656.11,0.599,Lomé,Tropical_Aw
LME_0116,Bureaux & Administration,2017,7,2891,7.9697,2,1.0986,61,0,0.913,0,0,0.0,0,0,1,1,1445.5,146.2,422642.0,267.1,0.632,Lomé,Tropical_Aw
LME_0117,Bureaux & Administration,2019,5,7476,8.9196,2,1.0986,57,0,0.883,0,0,0.0,0,0,1,1,3738.0,164.0,1225758.0,752.01,0.614,Lomé,Tropical_Aw
LME_0118,Bureaux & Administration,2006,18,1642,7.4043,2,1.0986,29,0,0.966,0,0,0.0,0,1,0,1,821.0,249.2,409265.0,259.94,0.635,Lomé,Tropical_Aw
LME_0119,Bureaux & Administration,2004,20,2037,7.6197,2,1.0986,57,0,0.888,0,0,0.0,0,0,1,1,1018.5,185.9,378673.0,220.2,0.582,Lomé,Tropical_Aw
LME_0120,Bureaux & Administration,2023,1,9574,9.1669,4,1.6094,70,0,0.959,0,0,0.0,0,1,1,1,2393.5,122.4,1171871.0,732.21,0.625,Lomé,Tropical_Aw
LME_0121,Commerces & Marchés,2009,15,1000,6.9088,2,1.0986,36,0,0.971,0,0,0.0,0,0,1,0,500.0,213.3,213326.0,122.62,0.575,Lomé,Tropical_Aw
LME_0122,Commerces & Marchés,2009,15,1835,7.5153,2,1.0986,45,0,0.955,0,0,0.0,0,1,0,1,917.5,228.5,419303.0,270.53,0.645,Lomé,Tropical_Aw
LME_0123,Commerces & Marchés,2004,20,931,6.8373,1,0.6931,79,0,0.928,0,0,0.0,0,0,1,1,931.0,112.6,104806.0,67.64,0.645,Lomé,Tropical_Aw
LME_0124,Commerces & Marchés,2004,20,5190,8.5547,1,0.6931,41,0,0.985,0,0,0.0,1,1,0,0,5190.0,219.4,1138781.0,677.17,0.595,Lomé,Tropical_Aw
LME_0125,Commerces & Marchés,2023,1,960,6.868,2,1.0986,39,0,0.896,0,0,0.0,1,0,0,1,480.0,265.2,254585.0,163.89,0.644,Lomé,Tropical_Aw
LME_0126,Commerces & Marchés,2004,20,4032,8.3023,1,0.6931,48,0,0.888,1,0,0.0,1,0,1,0,4032.0,206.7,833530.0,503.49,0.645,Lomé,Tropical_Aw
LME_0127,Commerces & Marchés,2012,12,1047,6.9546,1,0.6931,28,0,0.958,0,0,0.0,0,1,1,0,1047.0,248.6,260306.0,144.7,0.556,Lomé,Tropical_Aw
LME_0128,Commerces & Marchés,1993,31,2306,7.7437,1,0.6931,46,0,0.916,0,0,0.0,0,0,1,1,2306.0,211.0,486501.0,305.54,0.628,Lomé,Tropical_Aw
LME_0129,Commerces & Marchés,2009,15,5736,8.6547,1,0.6931,73,0,0.986,0,0,0.0,0,0,1,1,5736.0,157.4,902626.0,550.2,0.61,Lomé,Tropical_Aw
LME_0130,Commerces & Marchés,2007,17,1835,7.5153,1,0.6931,47,0,0.882,0,0,0.0,1,1,0,1,1835.0,211.6,388353.0,212.06,0.546,Lomé,Tropical_Aw
LME_0131,Commerces & Marchés,1992,32,2407,7.7866,2,1.0986,88,0,0.981,0,0,0.0,0,0,1,1,1203.5,111.1,267403.0,193.34,0.723,Lomé,Tropical_Aw
LME_0132,Commerces & Marchés,2017,7,1122,7.0238,1,0.6931,100,0,0.987,0,0,0.0,1,0,0,1,1122.0,80.1,89851.0,52.99,0.59,Lomé,Tropical_Aw
LME_0133,Commerces & Marchés,2013,11,17010,9.7416,1,0.6931,40,0,0.954,0,0,0.0,0,1,1,1,17010.0,231.9,3943952.0,2602.91,0.66,Lomé,Tropical_Aw
LME_0134,Commerces & Marchés,1990,34,11497,9.3499,1,0.6931,38,0,0.889,1,0,0.0,0,0,0,0,11497.0,211.0,2426077.0,1268.47,0.553,Lomé,Tropical_Aw
LME_0135,Commerces & Marchés,1992,32,1625,7.3939,1,0.6931,16,0,0.912,1,0,0.0,1,1,1,0,1625.0,315.9,513320.0,318.18,0.656,Lomé,Tropical_Aw
LME_0136,Commerces & Marchés,2017,7,7942,8.98,2,1.0986,71,0,0.957,0,0,0.0,0,0,1,0,3971.0,157.9,1253917.0,737.08,0.588,Lomé,Tropical_Aw
LME_0137,Commerces & Marchés,2018,6,9658,9.1756,2,1.0986,49,0,0.921,0,0,0.0,0,0,1,1,4829.0,161.2,1556685.0,993.1,0.638,Lomé,Tropical_Aw
LME_0138,Commerces & Marchés,1998,26,422,6.0474,1,0.6931,48,0,0.986,0,0,0.0,0,0,1,0,422.0,211.1,89092.0,54.49,0.612,Lomé,Tropical_Aw
LME_0139,Commerces & Marchés,2017,7,3796,8.242,2,1.0986,65,0,0.945,0,0,0.0,0,0,0,1,1898.0,151.4,574582.0,370.69,0.645,Lomé,Tropical_Aw
LME_0140,Commerces & Marchés,2019,5,2259,7.7231,1,0.6931,61,0,0.968,0,0,0.0,0,0,1,1,2259.0,124.0,280025.0,181.53,0.648,Lomé,Tropical_Aw
LME_0141,Commerces & Marchés,1995,29,7791,8.9609,2,1.0986,53,0,0.91,0,0,0.0,1,0,0,1,3895.5,219.3,1708722.0,1057.73,0.619,Lomé,Tropical_Aw
